"","talkative","thorough","reserved","careless","relaxed","reliable","tense","disorganized","worries","shy","calm","outgoing"
"row",3,3,3,2,3,5,5,3,5,4,2,3
"row",2,5,3,1,5,4,2,1,1,5,4,4
"row",3,4,2,3,2,5,1,4,1,4,4,4
"row",5,3,4,3,3,5,2,4,4,4,2,2
"row",3,4,4,3,1,3,5,4,2,3,3,3
"row",2,3,4,3,3,3,3,3,3,5,4,4
"row",5,4,2,1,4,3,3,4,3,3,4,5
"row",2,3,3,5,3,2,3,2,4,3,5,3
"row",2,3,4,5,4,3,3,3,2,4,3,4
"row",4,3,1,3,3,4,2,3,5,3,2,4
"row",5,5,2,3,3,5,4,1,3,5,2,5
"row",4,5,2,2,2,3,3,3,3,3,4,5
"row",4,4,4,3,4,5,5,3,5,5,2,2
"row",5,4,2,3,3,3,4,3,3,2,3,5
"row",5,5,2,2,2,5,5,3,5,2,2,3
"row",3,3,1,4,1,3,4,5,5,1,3,5
"row",4,5,4,2,1,5,3,1,4,4,2,3
"row",5,5,2,1,5,5,3,1,1,1,5,5
"row",3,4,4,5,5,4,3,5,3,3,5,3
"row",3,4,2,3,4,4,2,2,2,5,2,3
"row",4,5,4,2,5,5,2,1,3,3,3,5
"row",4,5,3,1,4,4,2,1,2,5,5,4
"row",5,4,4,4,2,5,4,2,3,3,3,5
"row",3,5,2,3,1,3,5,2,4,3,2,3
"row",4,4,1,3,2,4,5,2,5,3,3,5
"row",3,4,4,2,2,4,2,5,4,2,4,4
"row",2,3,4,4,5,4,3,3,2,5,3,4
"row",5,4,2,2,5,5,3,1,2,5,5,5
"row",4,5,5,4,4,4,4,3,4,5,3,3
"row",4,4,3,3,5,5,3,3,3,3,5,5
"row",5,5,3,1,4,5,3,1,5,4,4,5
"row",4,5,5,3,1,4,5,5,5,4,2,3
"row",3,3,4,3,2,4,4,4,1,4,2,4
"row",4,5,3,2,3,5,3,4,2,4,5,5
"row",3,5,4,2,2,4,3,1,2,2,3,4
"row",3,3,2,2,3,4,3,4,2,3,4,3
"row",4,5,3,5,2,5,4,2,3,3,5,3
"row",3,4,2,2,3,5,4,2,3,4,4,3
"row",4,2,2,2,3,2,3,4,1,3,3,5
"row",3,4,1,2,4,4,1,2,2,3,5,4
"row",4,3,3,2,2,4,3,1,3,3,2,4
"row",5,5,2,3,5,4,4,3,4,2,3,5
"row",4,3,4,2,2,5,4,1,5,3,2,4
"row",3,4,2,3,3,3,3,3,5,3,3,5
"row",3,3,3,5,2,4,4,4,3,4,2,3
"row",4,2,1,5,2,3,4,5,3,2,5,4
"row",4,4,1,2,5,4,1,5,4,2,4,5
"row",3,3,1,4,4,2,3,2,3,1,4,5
"row",4,4,1,4,1,3,4,3,5,2,1,5
"row",4,4,4,1,3,5,3,1,3,4,5,3
"row",5,3,3,2,2,3,4,1,4,4,2,5
"row",5,4,1,1,4,5,2,1,2,2,5,5
"row",4,5,4,2,2,5,4,1,3,3,3,4
"row",4,5,5,2,4,4,3,3,3,4,3,4
"row",3,4,3,2,4,4,3,1,3,4,5,3
"row",1,3,4,1,2,4,4,3,5,5,5,3
"row",4,4,2,2,1,4,5,1,4,4,2,3
"row",4,4,1,3,3,5,5,2,3,3,2,3
"row",4,3,5,3,1,5,4,1,2,5,4,4
"row",2,4,4,2,3,2,3,4,4,5,2,1
"row",1,2,4,3,1,4,4,4,5,4,5,2
"row",5,3,1,3,3,3,3,3,2,1,4,5
"row",2,4,5,3,4,3,4,3,5,5,4,3
"row",1,2,3,5,2,4,4,4,5,5,4,4
"row",5,5,2,2,1,5,4,2,3,3,4,5
"row",3,5,2,2,3,5,2,3,2,1,1,5
"row",3,5,5,3,3,3,4,4,1,2,2,3
"row",1,4,2,4,1,3,5,5,5,2,1,4
"row",1,4,2,1,2,3,5,4,5,3,2,1
"row",2,4,5,3,5,5,3,4,4,4,4,3
"row",3,3,5,5,4,3,1,4,3,3,4,4
"row",4,5,3,2,4,5,4,2,4,3,4,5
"row",4,3,4,3,2,3,5,5,5,5,2,4
"row",2,2,2,4,2,3,5,5,3,2,3,4
"row",2,5,3,1,1,5,4,1,3,2,4,3
"row",4,3,3,2,3,4,4,4,1,3,2,4
"row",3,5,5,3,3,5,3,5,4,3,2,4
"row",2,5,2,3,4,4,3,2,4,3,3,3
"row",5,3,1,3,4,4,3,4,1,1,5,5
"row",3,4,2,2,3,3,5,3,3,4,2,3
"row",4,5,1,1,4,5,1,1,1,1,5,5
"row",5,5,3,2,4,4,4,3,2,4,3,4
"row",3,3,2,3,3,3,3,5,2,2,4,3
"row",5,4,2,1,2,4,4,5,3,2,2,5
"row",5,5,1,1,4,4,3,2,5,2,3,2
"row",3,4,5,4,4,4,3,1,3,5,3,4
"row",3,4,4,4,2,4,4,3,2,4,4,5
"row",3,4,4,3,4,4,3,2,2,4,5,2
"row",2,5,4,2,2,4,4,2,3,1,3,4
"row",3,3,2,1,5,4,2,1,3,3,4,4
"row",4,5,2,1,5,4,1,1,1,3,5,4
"row",5,5,3,2,2,5,2,1,5,2,3,5
"row",3,4,3,2,3,4,5,3,3,3,3,3
"row",4,5,2,2,2,5,3,2,4,4,3,2
"row",4,5,1,3,4,5,4,3,3,1,5,5
"row",2,4,4,3,2,4,4,4,2,5,4,2
"row",3,3,3,3,2,4,5,3,4,2,3,3
"row",3,4,3,4,3,3,4,2,4,5,4,4
"row",5,5,1,2,2,5,3,2,2,2,3,5
"row",4,5,2,4,2,3,4,3,4,4,3,3
"row",4,4,4,1,5,5,3,2,2,3,4,5
"row",2,3,4,3,3,2,2,4,4,4,4,3
"row",5,4,1,3,4,4,3,2,3,2,4,4
"row",4,3,1,4,3,4,2,5,2,3,3,4
"row",5,3,3,2,3,5,3,2,4,3,4,3
"row",4,5,3,1,2,5,4,3,4,4,4,2
"row",1,5,2,3,4,5,4,3,4,4,1,2
"row",4,4,3,2,5,4,3,1,4,3,3,4
"row",4,4,2,4,2,4,4,2,2,3,2,5
"row",4,3,3,4,2,2,5,5,2,3,3,4
"row",2,3,3,4,1,3,5,3,5,5,3,2
"row",5,4,1,2,4,5,3,2,5,1,3,5
"row",3,4,2,3,3,4,3,2,4,3,3,5
"row",4,4,2,2,4,5,4,1,5,2,3,5
"row",2,4,2,2,1,4,2,4,5,3,3,2
"row",2,5,3,5,2,3,5,5,4,5,4,4
"row",3,5,3,3,3,5,1,3,2,2,4,4
"row",2,4,5,4,2,3,4,4,5,5,4,3
"row",2,3,3,2,1,3,5,2,5,5,2,3
"row",5,5,4,3,3,5,2,2,4,2,4,3
"row",1,4,4,2,2,3,4,3,4,3,2,5
"row",5,5,3,3,4,5,3,1,4,3,4,4
"row",4,3,1,5,2,4,4,1,4,4,3,3
"row",5,4,3,1,4,5,2,2,4,1,3,5
"row",3,5,5,2,3,5,3,1,4,5,5,5
"row",1,3,2,4,3,2,5,5,3,2,4,3
"row",5,5,1,2,4,5,3,1,5,2,4,5
"row",3,3,3,2,2,4,3,1,3,4,3,4
"row",2,4,4,1,3,4,2,1,3,3,4,3
"row",3,5,4,3,3,5,3,2,3,5,3,4
"row",5,5,1,4,4,5,4,4,3,2,4,5
"row",1,5,4,2,2,5,4,4,3,4,2,3
"row",5,4,1,2,1,5,3,2,4,1,2,5
"row",3,5,3,1,5,5,1,1,1,1,4,3
"row",2,4,4,3,4,4,3,3,2,4,4,3
"row",5,5,1,3,3,5,2,1,2,1,4,5
"row",4,4,1,3,5,5,3,1,1,3,3,5
"row",5,5,2,2,4,5,3,4,4,3,3,3
"row",2,3,4,3,5,3,4,3,1,2,5,1
"row",5,5,1,3,1,4,5,2,5,2,1,5
"row",4,3,2,3,4,3,3,3,1,4,5,3
"row",3,4,3,3,3,4,4,3,5,5,4,3
"row",4,3,2,4,3,4,3,3,3,3,4,4
"row",5,5,2,1,4,4,4,4,4,2,3,4
"row",4,5,5,3,3,5,4,2,3,3,2,4
"row",5,5,3,1,3,5,2,1,3,1,4,5
"row",3,3,3,4,2,4,3,3,4,4,3,4
"row",4,4,3,3,1,5,4,2,3,4,1,2
"row",2,5,4,3,4,5,3,3,4,5,4,4
"row",1,2,5,4,2,3,4,5,5,5,3,2
"row",1,2,3,4,4,3,3,4,4,5,1,1
"row",5,5,2,3,3,5,4,1,3,3,4,5
"row",5,4,1,4,1,5,5,4,5,4,2,4
"row",4,3,2,2,3,2,3,3,1,1,4,3
"row",4,4,2,1,3,3,3,2,2,3,5,5
"row",5,3,1,5,3,5,2,2,4,1,4,3
"row",4,4,3,3,5,2,2,3,3,2,4,5
"row",3,4,4,2,2,3,5,1,5,3,4,4
"row",1,3,5,1,3,3,4,3,4,2,3,3
"row",2,5,4,1,2,5,4,1,5,5,1,5
"row",4,4,3,1,3,4,4,2,4,4,3,5
"row",2,3,4,5,3,4,3,3,4,3,5,2
"row",2,4,3,1,5,4,3,4,3,4,4,4
"row",3,4,3,2,2,5,4,2,5,1,2,2
"row",3,4,4,2,3,3,1,1,3,4,3,3
"row",3,4,3,3,2,3,5,4,3,4,3,4
"row",2,4,2,3,2,4,3,3,2,4,5,4
"row",4,5,4,2,2,4,3,1,4,5,3,5
"row",4,4,2,3,3,3,5,3,3,4,3,5
"row",4,5,4,4,2,5,5,2,3,3,2,3
"row",2,3,4,4,1,4,3,1,5,5,2,4
"row",3,4,2,3,4,4,2,4,1,3,5,3
"row",4,5,4,2,3,3,3,4,2,4,4,4
"row",3,4,3,2,3,4,4,3,4,3,3,3
"row",4,5,4,4,3,5,3,2,4,4,1,4
"row",2,2,4,3,3,2,3,4,4,4,3,3
"row",4,4,3,2,5,5,3,3,3,4,5,4
"row",4,3,3,3,2,3,5,3,5,2,2,3
"row",4,4,1,3,5,5,3,3,1,2,4,5
"row",4,3,3,5,3,3,4,5,4,5,1,5
"row",4,4,3,3,1,5,5,3,5,4,1,4
"row",3,4,3,5,3,4,3,4,1,3,5,3
"row",1,5,5,1,4,5,3,1,4,5,4,1
"row",3,4,3,4,2,3,5,2,4,2,3,3
"row",5,4,3,3,3,5,3,3,5,1,4,2
"row",5,4,1,2,4,5,3,3,3,2,4,5
"row",3,4,3,2,4,3,4,1,3,1,4,5
"row",5,4,3,2,4,5,2,2,1,2,4,4
"row",4,5,3,2,2,3,4,3,5,4,2,3
"row",4,4,4,1,1,4,5,4,3,5,2,3
"row",5,4,1,3,4,3,4,3,2,1,4,5
"row",1,4,5,4,3,4,4,5,3,3,4,3
"row",4,2,2,4,5,4,2,2,3,2,4,5
"row",5,5,2,3,5,5,3,4,2,2,5,5
"row",3,3,3,3,5,3,3,1,2,4,5,3
"row",5,4,1,3,5,4,3,5,2,2,4,5
"row",4,3,3,4,2,4,5,2,5,3,2,5
"row",5,4,2,3,3,5,4,1,4,3,2,5
"row",4,5,4,4,2,5,5,1,3,5,3,4
"row",4,4,4,4,5,3,2,1,1,4,5,5
"row",2,3,2,3,2,3,3,3,2,2,5,5
"row",2,3,1,3,4,2,2,5,2,2,3,3
"row",3,5,3,2,3,4,3,3,3,5,4,3
"row",1,3,3,2,4,4,3,3,4,4,3,3
"row",2,2,2,4,3,3,3,4,2,3,4,1
"row",4,4,3,3,1,5,5,5,5,4,1,5
"row",5,4,2,2,3,4,4,3,5,3,4,4
"row",3,5,3,3,2,5,5,2,5,3,3,3
"row",3,4,4,4,3,4,3,4,2,3,3,1
"row",3,5,3,2,2,3,4,2,4,5,2,3
"row",4,3,3,5,4,4,5,3,4,3,2,3
"row",5,5,1,1,4,5,1,1,1,3,5,5
"row",2,4,3,3,5,5,2,1,3,4,5,3
"row",4,4,3,4,3,4,4,3,3,3,2,4
"row",4,5,2,2,3,4,5,2,4,5,3,4
"row",5,4,1,2,3,3,3,1,2,4,4,5
"row",4,5,3,2,3,4,4,3,4,5,3,5
"row",5,4,1,3,3,5,2,3,5,2,2,4
"row",5,3,2,4,2,3,5,4,5,2,3,5
"row",5,5,2,4,5,5,2,3,1,3,5,5
"row",5,5,1,3,4,4,2,1,4,1,5,5
"row",4,5,1,1,3,5,3,1,3,2,3,3
"row",2,3,2,2,3,3,4,5,3,4,4,2
"row",1,2,4,5,2,2,3,5,3,5,2,1
"row",5,5,2,2,5,5,4,1,4,4,2,5
"row",3,4,2,3,3,5,4,3,5,3,3,3
"row",2,4,4,4,1,3,5,3,5,3,3,2
"row",3,4,1,4,3,4,4,3,2,2,3,5
"row",3,5,3,3,3,5,5,2,5,3,2,3
"row",5,4,1,2,3,5,1,3,5,2,5,4
"row",5,4,2,2,2,5,5,3,5,3,2,2
"row",4,5,2,2,2,4,5,5,4,4,4,4
"row",1,4,5,5,3,4,4,4,5,4,2,1
"row",5,4,2,5,3,4,4,2,3,1,4,5
"row",5,5,3,2,2,5,5,4,3,2,4,4
"row",5,4,2,2,3,5,3,3,3,2,5,5
"row",4,4,4,2,1,4,5,3,3,4,4,3
"row",4,5,2,1,3,5,2,3,5,2,4,4
"row",5,3,2,5,3,4,2,3,3,4,3,5
"row",3,5,3,1,4,4,2,2,2,5,5,5
"row",5,4,2,3,2,5,3,1,5,4,2,5
"row",5,3,1,3,2,4,4,4,1,3,4,4
"row",3,4,3,3,2,3,5,3,5,4,2,4
"row",5,5,1,3,3,4,2,3,3,2,4,5
"row",5,4,2,4,3,5,3,4,3,2,3,2
"row",5,5,2,2,5,4,1,2,3,4,5,5
"row",4,4,3,3,5,4,4,3,3,5,4,5
"row",5,5,3,2,5,5,3,1,5,1,3,4
"row",4,5,4,1,2,5,5,1,5,3,4,3
"row",3,4,2,4,2,4,2,3,5,4,5,2
"row",5,5,3,4,1,4,5,3,5,4,1,5
"row",4,5,4,1,2,5,5,1,3,5,3,3
"row",3,5,4,1,4,5,5,3,4,4,4,4
"row",2,5,2,3,4,3,4,4,4,2,5,5
"row",4,4,3,2,3,4,3,2,4,1,3,4
"row",2,5,2,3,4,4,2,3,2,3,5,3
"row",4,5,2,1,4,4,3,2,3,2,3,3
"row",5,4,3,3,3,4,1,1,2,2,2,5
"row",1,4,5,3,1,3,5,2,5,4,2,2
"row",3,3,4,4,3,2,4,5,2,3,3,3
"row",4,4,4,3,2,4,4,2,4,3,4,4
"row",3,3,4,3,3,3,5,4,4,5,3,3
"row",4,4,4,2,4,3,3,3,2,4,1,2
"row",4,4,1,3,2,3,3,5,3,2,3,5
"row",5,5,1,3,5,5,5,2,5,2,2,5
"row",3,3,4,4,1,4,5,2,5,5,2,2
"row",5,5,2,4,1,3,5,4,5,4,1,5
"row",2,4,4,1,4,5,2,3,3,2,4,2
"row",5,5,3,2,2,4,3,1,4,1,2,3
"row",5,4,1,2,2,3,4,3,3,3,2,3
"row",2,4,3,1,2,5,5,4,5,3,4,4
"row",2,4,1,3,3,3,1,4,1,3,3,3
"row",2,4,5,3,3,5,3,5,5,5,3,3
"row",4,4,2,2,3,3,3,1,2,3,3,5
"row",2,4,4,4,2,4,5,1,3,4,4,3
"row",3,5,3,1,3,4,4,2,2,4,3,3
"row",4,3,3,5,3,5,3,3,2,3,3,3
"row",4,5,2,2,5,5,3,1,2,2,4,3
"row",5,5,3,2,2,3,5,1,4,4,2,3
"row",5,4,3,4,4,4,5,1,2,4,5,4
"row",5,4,3,3,2,4,4,3,4,3,3,4
"row",3,4,4,1,2,5,3,1,4,4,2,3
"row",5,4,1,1,2,4,3,1,2,4,3,4
"row",3,4,4,3,4,4,3,1,3,3,4,3
"row",4,5,2,3,3,5,5,1,5,3,3,3
"row",3,5,3,2,2,5,3,1,4,2,5,4
"row",3,5,5,3,4,4,2,2,2,3,4,3
"row",4,5,2,2,5,5,2,1,4,3,4,3
"row",1,2,4,3,4,2,3,2,3,3,3,3
"row",3,3,2,3,4,5,4,1,2,3,4,3
"row",5,4,2,2,1,4,5,3,5,2,2,4
"row",3,3,2,4,3,2,2,4,4,2,2,4
"row",1,3,3,3,2,5,5,3,4,3,3,3
"row",5,4,2,2,4,4,2,3,1,3,4,5
"row",5,3,4,2,4,4,5,4,5,5,2,5
"row",3,5,2,1,5,5,3,2,3,1,3,1
"row",5,5,2,2,3,5,2,3,3,2,4,4
"row",3,5,1,2,3,5,5,3,3,4,5,3
"row",4,4,1,2,4,5,2,3,2,2,4,5
"row",4,3,4,2,1,3,3,4,5,2,3,4
"row",5,5,1,2,3,5,3,3,3,2,4,5
"row",4,3,2,2,3,4,5,2,4,2,2,4
"row",5,3,2,2,4,3,5,4,3,3,5,4
"row",4,5,4,3,2,5,5,1,3,2,4,3
"row",2,4,3,4,1,3,5,3,5,5,1,4
"row",3,3,4,5,4,3,4,4,4,3,3,3
"row",2,5,5,2,2,5,4,1,4,5,3,2
"row",2,5,2,2,2,4,4,2,4,1,3,3
"row",4,4,1,3,2,5,3,3,4,2,5,4
"row",1,5,2,3,2,5,3,2,3,3,2,4
"row",4,5,1,2,3,4,5,1,3,1,2,4
"row",2,5,3,4,4,5,3,2,3,3,3,3
"row",5,5,3,2,4,4,4,3,5,3,3,4
"row",3,5,3,2,2,5,5,1,3,4,4,3
"row",3,4,3,3,3,5,5,2,4,4,1,3
"row",5,4,3,1,4,5,5,3,5,3,3,2
"row",4,2,4,5,5,2,2,4,5,3,3,5
"row",5,4,1,4,4,2,2,4,3,2,4,5
"row",5,5,1,3,4,5,3,3,2,1,4,4
"row",5,5,2,3,2,5,4,2,3,3,1,5
"row",3,2,1,4,4,4,1,3,1,3,5,4
"row",4,5,3,2,4,5,3,1,3,4,5,4
"row",5,4,2,2,3,5,3,3,2,3,2,4
"row",1,4,5,1,4,4,3,1,3,5,3,4
"row",2,5,1,3,4,4,2,4,3,2,5,4
"row",3,5,4,2,4,4,3,1,5,4,4,3
"row",3,4,4,3,3,4,4,2,5,4,3,3
"row",1,4,5,4,2,3,3,4,3,5,3,1
"row",5,4,2,1,2,5,3,1,4,1,1,5
"row",5,4,1,2,3,4,3,4,3,4,3,3
"row",3,4,2,2,3,4,5,3,2,4,4,4
"row",2,4,3,5,2,3,5,4,5,3,2,3
"row",1,5,5,3,3,5,4,4,5,5,3,2
"row",2,4,5,1,4,5,3,1,1,3,5,4
"row",4,4,2,4,3,3,4,2,4,2,3,5
"row",4,3,2,2,3,4,2,3,3,2,5,4
"row",2,4,2,2,3,4,3,1,3,3,2,4
"row",3,4,3,2,3,5,4,1,3,2,5,4
"row",3,5,4,2,3,5,4,3,3,5,3,3
"row",2,4,4,3,3,4,4,2,5,5,2,4
"row",5,5,2,2,5,5,2,1,2,3,5,5
"row",5,3,1,4,2,4,4,4,3,3,2,5
"row",5,4,1,3,3,3,1,3,1,2,3,5
"row",4,3,3,3,4,4,3,4,3,5,4,3
"row",2,4,3,3,2,4,3,3,2,5,4,4
"row",4,5,1,1,3,5,3,1,4,1,3,5
"row",4,5,1,3,3,5,3,3,2,3,5,4
"row",3,3,2,2,1,2,3,2,1,4,1,4
"row",2,5,3,2,3,5,4,2,4,4,5,2
"row",5,5,3,2,3,5,3,2,4,4,4,5
"row",5,2,4,5,2,3,4,5,3,4,3,3
"row",5,5,3,2,2,5,3,2,5,4,2,5
"row",4,4,2,2,5,3,3,4,1,1,5,5
"row",2,4,4,4,3,4,3,3,5,3,4,1
"row",5,4,4,1,3,5,5,3,5,3,4,3
"row",4,4,1,3,4,5,3,3,3,4,5,5
"row",4,4,3,4,3,5,4,3,5,3,3,4
"row",5,5,1,4,4,4,2,3,2,3,5,5
"row",5,5,3,3,2,5,5,2,5,3,1,3
"row",5,5,2,3,1,5,4,2,3,5,3,4
"row",3,4,5,2,5,2,2,3,2,1,5,3
"row",4,5,3,2,3,5,4,2,4,3,4,4
"row",3,5,4,1,2,4,5,2,4,5,3,3
"row",1,5,4,4,4,3,2,3,2,5,5,1
"row",4,5,3,3,2,4,5,3,4,3,3,5
"row",2,4,2,3,1,4,4,5,4,5,3,4
"row",5,5,1,3,4,4,4,1,4,2,3,5
"row",3,4,3,4,3,4,3,5,3,3,4,4
"row",5,5,5,3,2,5,4,2,4,2,3,5
"row",5,4,1,2,2,5,4,3,2,2,4,5
"row",3,4,1,3,3,5,2,3,2,2,4,5
"row",5,3,1,3,1,3,5,3,3,1,3,5
"row",3,3,2,3,4,4,2,1,2,3,5,5
"row",2,3,4,4,1,4,5,1,5,4,2,2
"row",5,5,2,3,3,5,4,3,3,2,5,4
"row",4,4,2,3,2,4,5,3,5,2,2,4
"row",5,4,2,1,2,5,3,3,3,1,2,4
"row",4,3,3,3,1,4,4,2,5,4,1,3
"row",1,3,5,5,4,2,4,2,4,5,3,2
"row",4,5,3,1,3,5,4,3,5,4,4,4
"row",4,5,2,2,4,5,4,2,3,3,4,3
"row",4,1,3,5,2,3,3,4,3,5,3,3
"row",5,3,2,4,5,5,1,3,1,5,4,5
"row",4,5,2,1,4,5,5,1,5,3,3,4
"row",5,5,1,2,3,4,4,2,3,2,5,3
"row",4,5,3,3,2,4,5,2,4,3,2,4
"row",5,5,2,2,1,4,3,2,3,4,2,5
"row",3,3,1,2,3,5,2,1,3,1,5,5
"row",5,5,1,1,4,5,3,1,3,1,5,4
"row",3,3,2,5,3,5,4,3,5,3,4,4
"row",5,4,3,3,4,5,3,1,1,3,4,4
"row",1,4,4,3,1,4,5,2,4,4,1,3
"row",3,5,2,1,3,5,2,3,1,2,4,4
"row",3,3,1,3,4,3,4,4,1,3,4,5
"row",4,4,2,3,5,5,1,4,2,1,5,5
"row",4,5,2,1,5,5,3,1,3,3,4,4
"row",4,4,3,3,2,4,4,3,5,3,3,5
"row",3,4,4,3,4,5,2,3,2,5,4,4
"row",4,5,3,1,4,5,1,2,2,3,4,5
"row",3,4,1,3,5,3,3,2,3,3,3,3
"row",2,3,4,5,4,3,4,4,5,5,2,2
"row",3,4,2,3,3,3,4,2,4,3,3,3
"row",4,5,2,3,3,3,3,2,3,2,4,5
"row",5,2,4,3,4,4,2,4,1,3,4,4
"row",4,3,5,3,1,4,4,4,5,3,1,3
"row",3,4,4,2,3,3,5,4,2,5,4,3
"row",5,5,2,1,3,4,4,2,3,1,3,5
"row",4,5,3,3,5,5,3,3,1,3,5,5
"row",4,4,3,2,4,4,4,3,2,3,2,3
"row",5,5,3,3,4,5,4,3,3,3,3,3
"row",2,4,2,4,3,5,4,1,5,5,3,2
"row",1,3,5,3,1,3,4,2,2,5,3,2
"row",4,5,2,2,3,4,2,2,4,2,4,4
"row",4,5,2,1,2,5,5,2,4,2,3,3
"row",3,5,4,3,5,4,3,3,2,4,3,3
"row",2,2,3,3,3,3,4,3,5,3,5,4
"row",3,4,3,4,4,5,3,3,5,2,3,4
"row",1,5,2,3,1,2,5,2,3,2,2,3
"row",4,5,3,3,1,5,5,2,5,5,3,3
"row",3,3,2,5,1,3,4,3,3,3,2,3
"row",3,4,1,4,3,4,3,3,2,2,4,4
"row",5,4,3,3,4,5,3,1,1,2,4,4
"row",2,4,4,1,2,5,5,3,3,4,2,3
"row",5,4,2,3,4,5,2,1,3,5,3,5
"row",3,4,4,4,3,3,4,3,4,5,4,3
"row",4,5,4,5,2,5,5,3,5,3,3,3
"row",5,4,1,3,3,5,2,2,4,1,3,5
"row",3,4,4,3,3,4,4,3,5,2,2,4
"row",5,5,2,3,3,5,3,2,4,2,3,4
"row",5,5,1,3,5,5,1,2,1,2,5,4
"row",3,3,3,3,4,3,2,3,3,3,2,5
"row",1,3,4,3,2,2,5,4,4,3,1,3
"row",3,3,3,4,1,4,5,4,5,4,1,3
"row",3,5,3,1,3,4,2,3,3,5,2,3
"row",4,5,3,3,2,5,3,1,3,4,4,5
"row",5,5,1,1,4,5,2,1,1,1,5,5
"row",2,5,2,1,3,5,2,2,3,3,3,4
"row",3,4,5,5,3,4,1,3,3,5,4,2
"row",4,4,3,4,2,4,4,3,3,4,4,3
"row",3,5,5,1,2,4,5,1,5,4,1,2
"row",3,1,3,5,2,3,2,4,2,3,4,3
"row",4,3,3,3,4,3,3,4,3,2,5,5
"row",2,4,4,2,4,3,2,3,3,2,4,2
"row",2,3,1,2,3,2,2,3,4,1,4,3
"row",4,3,2,3,4,4,5,2,5,4,5,5
"row",5,5,1,2,5,4,3,3,2,2,3,5
"row",3,4,3,1,3,5,2,2,3,1,4,3
"row",4,5,3,3,3,4,3,1,3,3,3,4
"row",5,5,1,1,3,5,2,3,3,2,3,5
"row",3,5,5,1,3,3,4,2,5,5,3,3
"row",3,4,5,3,3,4,5,4,5,4,2,5
"row",3,5,3,3,3,4,3,3,3,3,4,5
"row",3,5,3,4,3,5,3,2,3,3,3,2
"row",3,4,4,4,5,4,5,4,3,3,4,3
"row",3,3,3,2,2,4,3,3,4,5,3,4
"row",1,2,5,2,1,3,5,5,5,5,3,2
"row",1,4,4,5,4,3,4,2,3,5,3,3
"row",4,5,3,2,4,5,2,1,4,4,3,4
"row",3,5,3,2,2,5,5,3,5,5,1,2
"row",4,4,3,2,4,5,4,3,4,3,2,3
"row",5,5,1,1,4,5,2,1,2,3,5,5
"row",5,4,2,3,2,5,4,4,2,3,3,5
"row",2,4,3,3,1,5,2,4,2,3,4,3
"row",2,3,3,3,2,3,5,3,5,5,2,4
"row",1,4,4,3,3,3,4,5,3,5,2,2
"row",2,4,2,4,1,3,5,4,4,4,3,3
"row",2,4,3,5,1,4,4,5,2,5,1,4
"row",2,5,4,1,5,4,3,2,5,3,3,3
"row",4,5,2,2,3,5,4,2,3,4,4,5
"row",5,5,3,4,4,5,2,3,2,5,4,5
"row",4,5,3,2,3,5,3,1,4,2,4,4
"row",5,3,3,2,4,5,3,3,3,1,3,5
"row",2,3,4,4,1,4,5,4,2,4,5,2
"row",2,5,3,2,2,5,5,3,5,3,3,3
"row",5,5,2,4,2,5,3,4,2,4,4,4
"row",4,3,3,3,2,4,5,3,4,1,2,3
"row",4,4,2,3,1,5,4,5,5,1,2,4
"row",5,4,4,3,5,4,2,2,5,5,4,4
"row",5,4,2,3,2,3,4,3,5,2,3,4
"row",5,4,2,3,2,5,5,2,4,2,4,4
"row",4,4,1,3,3,4,3,2,3,3,3,4
"row",5,5,1,1,3,5,2,2,4,2,4,5
"row",4,5,4,4,1,3,5,4,4,2,3,4
"row",4,4,2,1,4,5,3,1,3,1,3,5
"row",5,3,1,2,3,4,5,1,2,1,3,5
"row",4,4,3,3,2,5,4,3,3,3,3,3
